2021-05-03 15:53:53,182 INFO bs = 8  
snapshot_freq = 1  
data_folder = crops/images/  
model_folder = results/pretrain/lr0.005_bs8_size256_third/models  
lr = 0.005  
output_folder = results/pretrain/lr0.005_bs8_size256_third  
exp_name = lr0.005_bs8_size256_third  
size = 256  
exp_suffix = third  
output_root = results  
weights_init = pretrain_weights_init.pth  
logs_folder = results/pretrain/lr0.005_bs8_size256_third/logs
2021-05-03 15:53:53,185 INFO train_data 60000
2021-05-03 15:53:53,185 INFO val_data 1000
2021-05-03 15:53:53,185 INFO Epoch 0
2021-05-03 15:54:08,434 INFO Training: [epoch:1, batch:    50/7500] loss: 1.404
2021-05-03 15:54:22,865 INFO Training: [epoch:1, batch:   100/7500] loss: 1.128
2021-05-03 15:54:34,902 INFO Training: [epoch:1, batch:   150/7500] loss: 0.924
2021-05-03 15:54:48,314 INFO Training: [epoch:1, batch:   200/7500] loss: 0.824
2021-05-03 15:55:51,834 INFO Training: [epoch:1, batch:   250/7500] loss: 0.737
2021-05-03 15:56:08,017 INFO Training: [epoch:1, batch:   300/7500] loss: 0.685
2021-05-03 15:56:21,718 INFO Training: [epoch:1, batch:   350/7500] loss: 0.638
2021-05-03 15:56:32,333 INFO Training: [epoch:1, batch:   400/7500] loss: 0.603
2021-05-03 15:56:43,335 INFO Training: [epoch:1, batch:   450/7500] loss: 0.582
2021-05-03 15:56:57,191 INFO Training: [epoch:1, batch:   500/7500] loss: 0.555
2021-05-03 15:57:11,903 INFO Training: [epoch:1, batch:   550/7500] loss: 0.535
2021-05-03 15:57:25,582 INFO Training: [epoch:1, batch:   600/7500] loss: 0.522
2021-05-03 15:57:36,667 INFO Training: [epoch:1, batch:   650/7500] loss: 0.506
2021-05-03 15:57:46,049 INFO Training: [epoch:1, batch:   700/7500] loss: 0.494
2021-05-03 15:58:05,313 INFO Training: [epoch:1, batch:   750/7500] loss: 0.489
2021-05-03 15:58:17,941 INFO Training: [epoch:1, batch:   800/7500] loss: 0.476
2021-05-03 15:58:27,750 INFO Training: [epoch:1, batch:   850/7500] loss: 0.469
2021-05-03 15:58:39,392 INFO Training: [epoch:1, batch:   900/7500] loss: 0.458
2021-05-03 15:58:51,077 INFO Training: [epoch:1, batch:   950/7500] loss: 0.449
2021-05-03 15:59:02,887 INFO Training: [epoch:1, batch:  1000/7500] loss: 0.443
2021-05-03 15:59:18,702 INFO Training: [epoch:1, batch:  1050/7500] loss: 0.433
2021-05-03 15:59:30,255 INFO Training: [epoch:1, batch:  1100/7500] loss: 0.426
2021-05-03 15:59:40,218 INFO Training: [epoch:1, batch:  1150/7500] loss: 0.423
2021-05-03 15:59:50,070 INFO Training: [epoch:1, batch:  1200/7500] loss: 0.419
2021-05-03 16:00:03,715 INFO Training: [epoch:1, batch:  1250/7500] loss: 0.415
2021-05-03 16:00:16,614 INFO Training: [epoch:1, batch:  1300/7500] loss: 0.413
